iter	Passed	Remaining
0	0	73
1	1	66
2	1	64
3	2	60
4	3	61
5	3	61
6	4	59
7	5	60
8	5	60
9	6	61
10	7	60
11	8	60
12	8	59
13	9	58
14	10	58
15	11	57
16	11	57
17	12	57
18	13	56
19	14	56
20	14	56
21	15	55
22	16	54
23	16	53
24	17	53
25	18	52
26	19	51
27	19	50
28	20	50
29	21	49
30	21	48
31	22	47
32	23	47
33	23	46
34	24	45
35	25	45
36	26	44
37	26	43
38	27	43
39	28	42
40	29	41
41	29	40
42	30	39
43	30	39
44	31	38
45	32	37
46	32	37
47	33	36
48	34	35
49	34	34
50	35	34
51	36	33
52	36	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	66	4
94	66	3
95	67	2
96	68	2
97	69	1
98	69	0
99	70	0
